Transaction_ID,Date_Vente,Produit,Categorie,Quantite,Prix_Unitaire,Total_Vente,Client_ID,Region
TXN0064,2023-02-24,Télévision LED,Électronique,3,450000,1350000,CUST2164,Saint-Louis
TXN0065,2023-05-14,Casque Bluetooth,Accessoires,3,25000,75000,CUST5853,Matam
TXN0066,2023-11-29,Montre connectée,Électronique,5,75000,375000,CUST7126,Kaolack
TXN0067,2023-11-06,Téléphone,Électronique,5,200000,1000000,CUST8653,Saint-Louis
TXN0068,2023-03-17,Chaussures de sport,Mode,4,40000,160000,CUST5220,Thiès
TXN0069,2023-07-03,Bureau ergonomique,Mobilier,3,120000,360000,CUST3668,Matam
TXN0070,2023-08-10,Ordinateur Portable,Électronique,4,350000,1400000,CUST9040,Dakar
TXN0071,2023-10-17,Télévision LED,Électronique,1,450000,450000,CUST8673,Saint-Louis
TXN0072,2023-12-12,Sac à dos,Mode,2,15000,30000,CUST8041,Thiès
TXN0073,2023-04-07,Télévision LED,Électronique,3,450000,1350000,CUST6619,Ziguinchor
TXN0074,2023-04-22,Bureau ergonomique,Mobilier,2,120000,240000,CUST6698,Ziguinchor
TXN0075,2023-07-09,Clavier mécanique,Accessoires,2,50000,100000,CUST6405,Kaolack
TXN0076,2023-05-02,Sac à dos,Mode,4,15000,60000,CUST5516,Ziguinchor
TXN0077,2023-01-07,Livre de développement personnel,Livres,1,10000,10000,CUST2917,Thiès
TXN0078,2023-06-11,Chaussures de sport,Mode,3,40000,120000,CUST5514,Kaolack
TXN0079,2023-10-11,Téléphone,Électronique,1,200000,200000,CUST2822,Tambacounda
TXN0080,2023-10-21,Chaussures de sport,Mode,3,40000,120000,CUST1382,Kaolack
TXN0081,2023-08-03,Téléphone,Électronique,1,200000,200000,CUST4514,Thiès
TXN0082,2023-04-16,Montre connectée,Électronique,2,75000,150000,CUST9825,Matam
TXN0083,2023-03-24,Clavier mécanique,Accessoires,5,50000,250000,CUST4441,Kaolack
TXN0084,2023-05-02,Sac à dos,Mode,1,15000,15000,CUST5978,Ziguinchor
TXN0085,2023-08-11,Bureau ergonomique,Mobilier,4,120000,480000,CUST2564,Tambacounda
TXN0086,2023-10-01,Bureau ergonomique,Mobilier,5,120000,600000,CUST4548,Thiès
TXN0087,2023-05-29,Montre connectée,Électronique,1,75000,75000,CUST7473,Ziguinchor
TXN0088,2023-02-22,Bureau ergonomique,Mobilier,1,120000,120000,CUST3810,Matam
TXN0089,2023-02-08,Téléphone,Électronique,3,200000,600000,CUST3138,Saint-Louis
TXN0090,2023-12-18,Clavier mécanique,Accessoires,5,50000,250000,CUST9029,Matam
TXN0091,2023-04-06,Livre de développement personnel,Livres,5,10000,50000,CUST3280,Thiès
TXN0092,2023-11-13,Casque Bluetooth,Accessoires,2,25000,50000,CUST3856,Kaolack
TXN0093,2023-05-12,Casque Bluetooth,Accessoires,1,25000,25000,CUST4980,Matam
TXN0094,2023-03-09,Montre connectée,Électronique,1,75000,75000,CUST7333,Matam
TXN0095,2023-01-29,Ordinateur Portable,Électronique,5,350000,1750000,CUST4172,Kaolack
TXN0096,2023-03-25,Casque Bluetooth,Accessoires,5,25000,125000,CUST2832,Ziguinchor
TXN0097,2023-08-08,Téléphone,Électronique,2,200000,400000,CUST9861,Kolda
TXN0098,2023-02-08,Sac à dos,Mode,2,15000,30000,CUST1043,Kaolack
TXN0099,2023-08-10,Télévision LED,Électronique,5,450000,2250000,CUST1583,Kolda
TXN0100,2023-06-05,Ordinateur Portable,Électronique,5,350000,1750000,CUST2027,Kaolack
TXN0101,2023-06-25,Chaussures de sport,Mode,2,40000,80000,CUST3514,Dakar
TXN0102,2023-05-22,Montre connectée,Électronique,2,75000,150000,CUST7507,Saint-Louis
TXN0103,2023-10-12,Casque Bluetooth,Accessoires,2,25000,50000,CUST3216,Tambacounda
TXN0104,2023-08-23,Téléphone,Électronique,2,200000,400000,CUST7643,Dakar
TXN0105,2023-05-14,Casque Bluetooth,Accessoires,3,25000,75000,CUST2057,Ziguinchor
TXN0106,2023-11-10,Clavier mécanique,Accessoires,5,50000,250000,CUST7825,Tambacounda
TXN0107,2023-07-30,Ordinateur Portable,Électronique,3,350000,1050000,CUST4881,Ziguinchor
TXN0108,2023-09-09,Bureau ergonomique,Mobilier,5,120000,600000,CUST7883,Matam
TXN0109,2023-09-20,Montre connectée,Électronique,2,75000,150000,CUST3646,Kaolack
TXN0110,2023-12-06,Montre connectée,Électronique,2,75000,150000,CUST3508,Kaolack
TXN0111,2023-08-22,Clavier mécanique,Accessoires,1,50000,50000,CUST4832,Tambacounda
TXN0112,2023-08-01,Livre de développement personnel,Livres,5,10000,50000,CUST3540,Saint-Louis
TXN0113,2023-02-18,Télévision LED,Électronique,3,450000,1350000,CUST2110,Kaolack
TXN0114,2023-05-21,Sac à dos,Mode,5,15000,75000,CUST8848,Matam
TXN0115,2023-03-25,Sac à dos,Mode,4,15000,60000,CUST6056,Matam
TXN0116,2023-07-05,Télévision LED,Électronique,4,450000,1800000,CUST6830,Matam
TXN0117,2023-02-27,Montre connectée,Électronique,3,75000,225000,CUST4944,Tambacounda
TXN0118,2023-12-01,Téléphone,Électronique,3,200000,600000,CUST1154,Matam
TXN0119,2023-06-22,Casque Bluetooth,Accessoires,5,25000,125000,CUST7093,Tambacounda
TXN0120,2023-02-03,Chaussures de sport,Mode,3,40000,120000,CUST5894,Tambacounda
TXN0121,2023-05-12,Bureau ergonomique,Mobilier,2,120000,240000,CUST8950,Thiès
TXN0122,2023-09-04,Sac à dos,Mode,2,15000,30000,CUST1065,Kaolack
TXN0123,2023-03-18,Ordinateur Portable,Électronique,4,350000,1400000,CUST4713,Matam
TXN0124,2023-10-13,Montre connectée,Électronique,3,75000,225000,CUST6110,Thiès
TXN0125,2023-09-18,Livre de développement personnel,Livres,1,10000,10000,CUST8599,Kolda
TXN0126,2023-11-02,Livre de développement personnel,Livres,2,10000,20000,CUST5104,Saint-Louis
TXN0127,2023-02-27,Télévision LED,Électronique,4,450000,1800000,CUST8781,Kaolack
TXN0128,2023-12-20,Télévision LED,Électronique,3,450000,1350000,CUST3936,Matam
TXN0129,2023-05-16,Télévision LED,Électronique,3,450000,1350000,CUST3970,Kolda
TXN0130,2023-04-13,Télévision LED,Électronique,3,450000,1350000,CUST3762,Dakar
TXN0131,2023-11-14,Ordinateur Portable,Électronique,2,350000,700000,CUST3405,Thiès
TXN0132,2023-03-04,Livre de développement personnel,Livres,1,10000,10000,CUST8560,Ziguinchor
TXN0133,2023-06-03,Montre connectée,Électronique,3,75000,225000,CUST4610,Tambacounda
TXN0134,2023-01-22,Bureau ergonomique,Mobilier,1,120000,120000,CUST7371,Ziguinchor
TXN0135,2023-12-02,Livre de développement personnel,Livres,5,10000,50000,CUST9563,Kolda
TXN0136,2023-12-13,Clavier mécanique,Accessoires,3,50000,150000,CUST5439,Matam
TXN0137,2023-11-24,Montre connectée,Électronique,4,75000,300000,CUST3695,Tambacounda
TXN0138,2023-09-22,Casque Bluetooth,Accessoires,5,25000,125000,CUST2475,Kolda
TXN0139,2023-02-06,Montre connectée,Électronique,3,75000,225000,CUST5930,Kolda
TXN0140,2023-03-31,Clavier mécanique,Accessoires,2,50000,100000,CUST2962,Kolda
TXN0141,2023-12-08,Télévision LED,Électronique,1,450000,450000,CUST1710,Dakar
TXN0142,2023-03-18,Montre connectée,Électronique,5,75000,375000,CUST5393,Kaolack
TXN0143,2023-03-09,Livre de développement personnel,Livres,2,10000,20000,CUST7236,Kolda
TXN0144,2023-03-31,Téléphone,Électronique,3,200000,600000,CUST2141,Thiès
TXN0145,2023-01-05,Chaussures de sport,Mode,2,40000,80000,CUST7601,Saint-Louis
TXN0146,2023-06-12,Chaussures de sport,Mode,4,40000,160000,CUST4105,Thiès
TXN0147,2023-05-20,Livre de développement personnel,Livres,2,10000,20000,CUST7351,Dakar
TXN0148,2023-07-27,Sac à dos,Mode,2,15000,30000,CUST7516,Thiès
TXN0149,2023-05-03,Bureau ergonomique,Mobilier,3,120000,360000,CUST4185,Kolda
TXN0150,2023-07-25,Chaussures de sport,Mode,5,40000,200000,CUST1716,Kolda
TXN0151,2023-01-05,Bureau ergonomique,Mobilier,5,120000,600000,CUST8185,Tambacounda
TXN0152,2023-11-15,Clavier mécanique,Accessoires,2,50000,100000,CUST1571,Tambacounda
TXN0153,2023-08-18,Chaussures de sport,Mode,5,40000,200000,CUST8249,Ziguinchor
TXN0154,2023-11-18,Livre de développement personnel,Livres,4,10000,40000,CUST8797,Matam
TXN0155,2023-03-20,Montre connectée,Électronique,1,75000,75000,CUST2121,Saint-Louis
TXN0156,2023-01-01,Clavier mécanique,Accessoires,3,50000,150000,CUST9446,Matam
TXN0157,2023-01-13,Clavier mécanique,Accessoires,1,50000,50000,CUST7915,Thiès
TXN0158,2023-02-02,Sac à dos,Mode,1,15000,15000,CUST9003,Thiès
TXN0159,2023-05-17,Livre de développement personnel,Livres,3,10000,30000,CUST3011,Dakar
TXN0160,2023-07-13,Ordinateur Portable,Électronique,2,350000,700000,CUST6171,Matam
TXN0161,2023-01-04,Télévision LED,Électronique,1,450000,450000,CUST4207,Ziguinchor
TXN0162,2023-06-06,Chaussures de sport,Mode,2,40000,80000,CUST5229,Saint-Louis
TXN0163,2023-04-05,Télévision LED,Électronique,4,450000,1800000,CUST4780,Ziguinchor
TXN0164,2023-06-28,Ordinateur Portable,Électronique,4,350000,1400000,CUST4288,Matam
TXN0165,2023-07-20,Téléphone,Électronique,1,200000,200000,CUST8761,Ziguinchor
TXN0166,2023-01-16,Montre connectée,Électronique,3,75000,225000,CUST1174,Kaolack
TXN0167,2023-02-09,Casque Bluetooth,Accessoires,4,25000,100000,CUST4752,Kaolack
TXN0168,2023-11-01,Casque Bluetooth,Accessoires,3,25000,75000,CUST6901,Kaolack
TXN0169,2023-12-01,Montre connectée,Électronique,5,75000,375000,CUST8622,Kaolack
TXN0170,2023-10-12,Casque Bluetooth,Accessoires,4,25000,100000,CUST7303,Kolda
TXN0171,2023-12-12,Chaussures de sport,Mode,5,40000,200000,CUST9484,Thiès
TXN0172,2023-11-23,Ordinateur Portable,Électronique,2,350000,700000,CUST6859,Matam
TXN0173,2023-05-19,Montre connectée,Électronique,5,75000,375000,CUST9826,Dakar
TXN0174,2023-09-13,Clavier mécanique,Accessoires,1,50000,50000,CUST7654,Matam
TXN0175,2023-12-06,Montre connectée,Électronique,5,75000,375000,CUST2243,Saint-Louis
TXN0176,2023-03-23,Clavier mécanique,Accessoires,1,50000,50000,CUST5006,Saint-Louis
TXN0177,2023-10-10,Livre de développement personnel,Livres,4,10000,40000,CUST4779,Saint-Louis
TXN0178,2023-04-22,Livre de développement personnel,Livres,2,10000,20000,CUST3667,Matam
TXN0179,2023-02-12,Télévision LED,Électronique,4,450000,1800000,CUST1866,Dakar
TXN0180,2023-01-05,Montre connectée,Électronique,3,75000,225000,CUST7300,Ziguinchor
TXN0181,2023-10-20,Montre connectée,Électronique,5,75000,375000,CUST4204,Saint-Louis
TXN0182,2023-02-04,Livre de développement personnel,Livres,1,10000,10000,CUST2733,Tambacounda
TXN0183,2023-03-25,Téléphone,Électronique,4,200000,800000,CUST4256,Matam
TXN0184,2023-04-21,Sac à dos,Mode,1,15000,15000,CUST5944,Matam
TXN0185,2023-10-21,Clavier mécanique,Accessoires,5,50000,250000,CUST2886,Saint-Louis
TXN0186,2023-07-04,Téléphone,Électronique,4,200000,800000,CUST4089,Saint-Louis
TXN0187,2023-07-05,Télévision LED,Électronique,1,450000,450000,CUST9085,Kaolack
TXN0188,2023-01-06,Livre de développement personnel,Livres,1,10000,10000,CUST7570,Kolda
TXN0189,2023-05-27,Bureau ergonomique,Mobilier,4,120000,480000,CUST9506,Thiès
TXN0190,2023-10-28,Chaussures de sport,Mode,4,40000,160000,CUST2809,Ziguinchor
TXN0191,2023-06-16,Clavier mécanique,Accessoires,5,50000,250000,CUST3012,Kaolack
TXN0192,2023-08-24,Clavier mécanique,Accessoires,1,50000,50000,CUST6451,Dakar
TXN0193,2023-12-10,Casque Bluetooth,Accessoires,2,25000,50000,CUST8053,Dakar
TXN0194,2023-11-25,Sac à dos,Mode,1,15000,15000,CUST8960,Saint-Louis
TXN0195,2023-07-09,Bureau ergonomique,Mobilier,5,120000,600000,CUST8765,Kolda
TXN0196,2023-01-30,Chaussures de sport,Mode,2,40000,80000,CUST3247,Kolda
TXN0197,2023-02-11,Téléphone,Électronique,5,200000,1000000,CUST3549,Matam
TXN0198,2023-08-20,Bureau ergonomique,Mobilier,3,120000,360000,CUST2852,Tambacounda
TXN0199,2023-04-23,Télévision LED,Électronique,4,450000,1800000,CUST7425,Saint-Louis
TXN0200,2023-06-04,Ordinateur Portable,Électronique,2,350000,700000,CUST2582,Dakar
TXN0201,2023-04-18,Livre de développement personnel,Livres,3,10000,30000,CUST9041,Ziguinchor
TXN0202,2023-01-04,Casque Bluetooth,Accessoires,3,25000,75000,CUST6586,Matam
TXN0203,2023-09-18,Ordinateur Portable,Électronique,1,350000,350000,CUST5035,Dakar
TXN0204,2023-09-14,Téléphone,Électronique,3,200000,600000,CUST3645,Kolda
TXN0205,2023-12-12,Livre de développement personnel,Livres,1,10000,10000,CUST4310,Kaolack
TXN0206,2023-06-13,Ordinateur Portable,Électronique,2,350000,700000,CUST7176,Ziguinchor
TXN0207,2023-02-14,Télévision LED,Électronique,1,450000,450000,CUST5187,Tambacounda
TXN0208,2023-05-31,Chaussures de sport,Mode,2,40000,80000,CUST7103,Tambacounda
TXN0209,2023-01-29,Casque Bluetooth,Accessoires,4,25000,100000,CUST9906,Ziguinchor
TXN0210,2023-12-11,Télévision LED,Électronique,5,450000,2250000,CUST8729,Matam
TXN0211,2023-11-02,Livre de développement personnel,Livres,3,10000,30000,CUST5621,Matam
TXN0212,2023-02-12,Télévision LED,Électronique,3,450000,1350000,CUST3487,Kolda
TXN0213,2023-06-08,Clavier mécanique,Accessoires,2,50000,100000,CUST7070,Tambacounda
TXN0214,2023-07-05,Sac à dos,Mode,5,15000,75000,CUST9113,Kolda
TXN0215,2023-02-21,Sac à dos,Mode,5,15000,75000,CUST7093,Kaolack
TXN0216,2023-11-25,Livre de développement personnel,Livres,1,10000,10000,CUST5934,Dakar
TXN0217,2023-12-18,Bureau ergonomique,Mobilier,5,120000,600000,CUST7709,Saint-Louis
TXN0218,2023-01-02,Livre de développement personnel,Livres,1,10000,10000,CUST1646,Saint-Louis
TXN0219,2023-07-25,Montre connectée,Électronique,2,75000,150000,CUST4361,Matam
TXN0220,2023-04-15,Bureau ergonomique,Mobilier,4,120000,480000,CUST2823,Matam
TXN0221,2023-11-04,Téléphone,Électronique,3,200000,600000,CUST7898,Matam
TXN0222,2023-06-22,Ordinateur Portable,Électronique,3,350000,1050000,CUST3487,Matam
TXN0223,2023-08-23,Ordinateur Portable,Électronique,1,350000,350000,CUST1936,Dakar
TXN0224,2023-01-13,Casque Bluetooth,Accessoires,5,25000,125000,CUST9423,Saint-Louis
TXN0225,2023-05-06,Chaussures de sport,Mode,4,40000,160000,CUST3844,Tambacounda
TXN0226,2023-03-01,Télévision LED,Électronique,5,450000,2250000,CUST8972,Saint-Louis
TXN0227,2023-09-10,Montre connectée,Électronique,3,75000,225000,CUST5167,Saint-Louis
TXN0228,2023-08-13,Livre de développement personnel,Livres,1,10000,10000,CUST1873,Ziguinchor
TXN0229,2023-12-25,Casque Bluetooth,Accessoires,3,25000,75000,CUST5664,Tambacounda
TXN0230,2023-02-28,Clavier mécanique,Accessoires,2,50000,100000,CUST1801,Ziguinchor
TXN0231,2023-07-04,Ordinateur Portable,Électronique,1,350000,350000,CUST4845,Ziguinchor
TXN0232,2023-09-21,Clavier mécanique,Accessoires,4,50000,200000,CUST1844,Matam
TXN0233,2023-04-18,Montre connectée,Électronique,5,75000,375000,CUST7846,Ziguinchor
TXN0234,2023-08-26,Ordinateur Portable,Électronique,3,350000,1050000,CUST2792,Ziguinchor
TXN0235,2023-07-12,Livre de développement personnel,Livres,2,10000,20000,CUST6655,Tambacounda
TXN0236,2023-12-02,Montre connectée,Électronique,3,75000,225000,CUST7319,Ziguinchor
TXN0237,2023-01-13,Clavier mécanique,Accessoires,2,50000,100000,CUST4713,Kolda
TXN0238,2023-10-05,Chaussures de sport,Mode,1,40000,40000,CUST4754,Saint-Louis
TXN0239,2023-03-02,Télévision LED,Électronique,1,450000,450000,CUST5616,Saint-Louis
TXN0240,2023-09-22,Sac à dos,Mode,5,15000,75000,CUST1205,Thiès
TXN0241,2023-04-16,Casque Bluetooth,Accessoires,5,25000,125000,CUST4180,Thiès
TXN0242,2023-11-20,Télévision LED,Électronique,4,450000,1800000,CUST5894,Thiès
TXN0243,2023-07-03,Clavier mécanique,Accessoires,2,50000,100000,CUST5812,Ziguinchor
TXN0244,2023-11-25,Clavier mécanique,Accessoires,5,50000,250000,CUST4570,Tambacounda
TXN0245,2023-09-13,Clavier mécanique,Accessoires,4,50000,200000,CUST3708,Kolda
TXN0246,2023-04-08,Chaussures de sport,Mode,5,40000,200000,CUST4048,Ziguinchor
TXN0247,2023-03-19,Sac à dos,Mode,5,15000,75000,CUST7497,Matam
TXN0248,2023-08-28,Clavier mécanique,Accessoires,4,50000,200000,CUST7064,Kolda
TXN0249,2023-03-07,Montre connectée,Électronique,4,75000,300000,CUST9856,Dakar
TXN0250,2023-08-28,Montre connectée,Électronique,4,75000,300000,CUST7256,Kaolack
TXN0251,2023-11-26,Télévision LED,Électronique,2,450000,900000,CUST5884,Saint-Louis
TXN0252,2023-08-04,Livre de développement personnel,Livres,3,10000,30000,CUST2122,Saint-Louis
TXN0253,2023-04-01,Sac à dos,Mode,2,15000,30000,CUST7172,Kaolack
TXN0254,2023-02-03,Livre de développement personnel,Livres,5,10000,50000,CUST5743,Tambacounda
TXN0255,2023-02-01,Sac à dos,Mode,5,15000,75000,CUST1935,Kolda
TXN0256,2023-08-09,Téléphone,Électronique,1,200000,200000,CUST3692,Dakar
TXN0257,2023-01-24,Chaussures de sport,Mode,4,40000,160000,CUST3025,Kolda
TXN0258,2023-04-11,Clavier mécanique,Accessoires,4,50000,200000,CUST1378,Ziguinchor
TXN0259,2023-03-12,Sac à dos,Mode,2,15000,30000,CUST9128,Tambacounda
TXN0260,2023-03-02,Livre de développement personnel,Livres,2,10000,20000,CUST1379,Ziguinchor
TXN0261,2023-04-25,Casque Bluetooth,Accessoires,4,25000,100000,CUST1293,Kolda
TXN0262,2023-04-22,Téléphone,Électronique,4,200000,800000,CUST2493,Matam
TXN0263,2023-05-03,Télévision LED,Électronique,1,450000,450000,CUST8901,Kolda
TXN0264,2023-09-23,Ordinateur Portable,Électronique,1,350000,350000,CUST6553,Kolda
TXN0265,2023-07-12,Chaussures de sport,Mode,3,40000,120000,CUST4335,Kaolack
TXN0266,2023-09-13,Sac à dos,Mode,5,15000,75000,CUST7300,Dakar
TXN0267,2023-11-19,Chaussures de sport,Mode,1,40000,40000,CUST2524,Tambacounda
TXN0268,2023-03-17,Télévision LED,Électronique,2,450000,900000,CUST9705,Kolda
TXN0269,2023-03-19,Ordinateur Portable,Électronique,3,350000,1050000,CUST2554,Tambacounda
TXN0270,2023-08-12,Montre connectée,Électronique,3,75000,225000,CUST4067,Thiès
TXN0271,2023-08-15,Télévision LED,Électronique,4,450000,1800000,CUST9510,Kolda
TXN0272,2023-04-14,Montre connectée,Électronique,2,75000,150000,CUST3879,Matam
TXN0273,2023-10-29,Sac à dos,Mode,3,15000,45000,CUST3132,Matam
TXN0274,2023-12-30,Télévision LED,Électronique,5,450000,2250000,CUST5148,Dakar
TXN0275,2023-11-11,Chaussures de sport,Mode,2,40000,80000,CUST9526,Saint-Louis
TXN0276,2023-12-07,Télévision LED,Électronique,4,450000,1800000,CUST3144,Tambacounda
TXN0277,2023-06-17,Clavier mécanique,Accessoires,3,50000,150000,CUST2623,Kaolack
TXN0278,2023-12-26,Téléphone,Électronique,3,200000,600000,CUST5111,Matam
TXN0279,2023-10-19,Bureau ergonomique,Mobilier,5,120000,600000,CUST2909,Kaolack
TXN0280,2023-07-02,Télévision LED,Électronique,5,450000,2250000,CUST7889,Kolda
TXN0281,2023-07-20,Télévision LED,Électronique,2,450000,900000,CUST3459,Tambacounda
TXN0282,2023-02-23,Casque Bluetooth,Accessoires,1,25000,25000,CUST5968,Dakar
TXN0283,2023-11-16,Clavier mécanique,Accessoires,3,50000,150000,CUST4738,Thiès
TXN0284,2023-07-18,Montre connectée,Électronique,4,75000,300000,CUST6615,Dakar
TXN0285,2023-09-04,Chaussures de sport,Mode,2,40000,80000,CUST8527,Thiès
TXN0286,2023-06-18,Bureau ergonomique,Mobilier,4,120000,480000,CUST2892,Ziguinchor
TXN0287,2023-04-16,Chaussures de sport,Mode,5,40000,200000,CUST9656,Tambacounda
TXN0288,2023-11-18,Sac à dos,Mode,4,15000,60000,CUST2647,Saint-Louis
TXN0289,2023-07-27,Télévision LED,Électronique,2,450000,900000,CUST8781,Dakar
TXN0290,2023-09-28,Bureau ergonomique,Mobilier,3,120000,360000,CUST6247,Dakar
TXN0291,2023-07-01,Téléphone,Électronique,4,200000,800000,CUST8250,Tambacounda
TXN0292,2023-11-16,Chaussures de sport,Mode,5,40000,200000,CUST1878,Kaolack
TXN0293,2023-11-17,Ordinateur Portable,Électronique,5,350000,1750000,CUST2495,Kaolack
TXN0294,2023-08-29,Sac à dos,Mode,4,15000,60000,CUST2819,Matam
TXN0295,2023-04-24,Livre de développement personnel,Livres,5,10000,50000,CUST4207,Kolda
TXN0296,2023-12-16,Chaussures de sport,Mode,4,40000,160000,CUST8321,Matam
TXN0297,2023-05-29,Ordinateur Portable,Électronique,3,350000,1050000,CUST6631,Ziguinchor
TXN0298,2023-01-31,Bureau ergonomique,Mobilier,3,120000,360000,CUST6953,Tambacounda
